"id","acronym","name","category","description","collections","hasAIApplication","isMature","concerns_data_topic","has_relevant_organization","responsible_organization","isOpen","registration","URL","formalSpec","publication","trainingResources","subclassOf","contributionDate","relatedTo","usedInBridge2AI","topic","relevantOrgNames","responsibleOrgAcronym","responsibleOrgName"
"B2AI_STANDARD:152","HL7 CDA Data Provenance","HL7 Clinical Document Architecture Implementation Guide - Data Provenance","Biomedical Standard","Guidance and templates for basic provenance information about clinical (and other care related information), who created it, when was it created, where was it created, how it was created, and why it was created.",,"No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","Yes","http://www.hl7.org/implement/standards/product_brief.cfm?product_id=420",,,,,,,"No","[""EHR""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:153","DiagnosticReport","HL7 FHIR Resource DiagnosticReport","Biomedical Standard","Resource for findings and interpretation of diagnostic tests performed on patients, groups of patients, devices, and locations, and/or specimens derived from these. The report includes clinical context such as requesting and provider information, and some mix of atomic results, images, textual and coded interpretations, and formatted representation of diagnostic reports.",,"No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No","http://hl7.org/fhir/diagnosticreport.html","http://hl7.org/fhir/diagnosticreport-definitions.html",,"[""B2AI_STANDARD:845"", ""B2AI_STANDARD:846"", ""B2AI_STANDARD:847"", ""B2AI_STANDARD:850""]",,,,"No","[""EHR""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:154","GenomicStudy","HL7 FHIR Resource GenomicStudy","Biomedical Standard","GenomicStudy resource aims at delineating relevant information of a genomic study. A genomic study might comprise one or more analyses, each serving a specific purpose. These analyses may vary in method (e.g., karyotyping, CNV, or SNV detection), performer, software, devices used, or regions targeted.",,"No","No","[""B2AI_TOPIC:9"", ""B2AI_TOPIC:13""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No","https://build.fhir.org/genomicstudy.html","https://build.fhir.org/genomicstudy-definitions.html",,"[""B2AI_STANDARD:845"", ""B2AI_STANDARD:846"", ""B2AI_STANDARD:847"", ""B2AI_STANDARD:850""]",,,,"No","[""EHR"", ""Genome""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:155","MolecularSequence","HL7 FHIR Resource MolecularSequence","Biomedical Standard","Resource for raw data describing a biological sequence.",,"No","No","[""B2AI_TOPIC:4"", ""B2AI_TOPIC:20""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No","http://hl7.org/implement/standards/fhir/molecularsequence.html","http://hl7.org/implement/standards/fhir/molecularsequence-definitions.html",,"[""B2AI_STANDARD:845"", ""B2AI_STANDARD:846"", ""B2AI_STANDARD:847"", ""B2AI_STANDARD:850""]",,,,"No","[""Clinical Observations"", ""Molecular Biology""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:156","Observation","HL7 FHIR Resource Observation","Biomedical Standard","Resource for measurements and simple assertions made about a patient, device or other subject.",,"No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No","http://hl7.org/implement/standards/fhir/observation.html","http://hl7.org/implement/standards/fhir/observation-definitions.html",,"[""B2AI_STANDARD:845"", ""B2AI_STANDARD:846"", ""B2AI_STANDARD:847"", ""B2AI_STANDARD:850""]",,,,"No","[""EHR""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:157","Patient","HL7 FHIR Resource Patient","Biomedical Standard","Resource for demographics and other administrative information about an individual or animal receiving care or other health-related services.",,"No","No","[""B2AI_TOPIC:6"", ""B2AI_TOPIC:9""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No","http://hl7.org/implement/standards/fhir/patient.html","http://hl7.org/implement/standards/fhir/patient-definitions.html",,"[""B2AI_STANDARD:845"", ""B2AI_STANDARD:846"", ""B2AI_STANDARD:847"", ""B2AI_STANDARD:850""]",,,,"No","[""Demographics"", ""EHR""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:158","Specimen","HL7 FHIR Resource Specimen","Biomedical Standard","Resource for any material sample taken from a biological entity, living or dead, or taken from a physical object or the environment.",,"No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","No","http://hl7.org/fhir/specimen.html","http://hl7.org/fhir/specimen-definitions.html",,"[""B2AI_STANDARD:845"", ""B2AI_STANDARD:846"", ""B2AI_STANDARD:847"", ""B2AI_STANDARD:850""]",,,,"No","[""EHR""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:159","GHP","HL7 Gender Harmony Project","Biomedical Standard","Currently, it is common that a single data element is used to capture both sex and gender information, often assuming these two items are one unified idea. This specification challenges that notion and proposes that independent consideration of sex and gender, and the assessment of their differences promotes the health of women, men, and people of diverse gender identities of all ages, avoiding systematic errors that generate results with a low validity (if any) in clinical studies. The Gender Harmony model describes an approach that can improve data accuracy for sex and gender information in health care systems.",,"No","No","[""B2AI_TOPIC:6""]","[""B2AI_ORG:40""]","[""B2AI_ORG:40""]","Yes","Yes","http://www.hl7.org/implement/standards/product_brief.cfm?product_id=564",,"doi:10.1093/jamia/ocab196",,,,,"No","[""Demographics""]","[""HL7""]","[""HL7""]","[""Health Level Seven""]"
"B2AI_STANDARD:160","TraML","HUPO-PSI TraML format","Biomedical Standard","The HUPO PSI Mass Spectrometry Standards Working Group (MSS WG) has developed a specification for a standardized format for the exchange and transmission of transition lists for selected reaction monitoring (SRM) experiments.","[""fileformat""]","No","No","[""B2AI_TOPIC:28""]","[""B2AI_ORG:41""]","[""B2AI_ORG:41""]","Yes","No","https://www.psidev.info/traml",,,,,,,"No","[""Proteome""]","[""HUPO-PSI""]","[""HUPO-PSI""]","[""Human Proteome Organization Proteomics Standards Initiative""]"
"B2AI_STANDARD:161","IEEE P360","IEEE 360-2022 IEEE Standard for Wearable Consumer Electronic Devices","Biomedical Standard","An overview, terminology, and categorization for Wearable Consumer Electronic Devices (Wearables). It further outlines an architecture for a series of standard specifications that define technical requirements and testing methods for different aspects of Wearables, from basic security and suitableness of wearing to various functional areas like health, fitness, and infotainment, etc.",,"No","No","[""B2AI_TOPIC:18""]","[""B2AI_ORG:44""]","[""B2AI_ORG:44""]","No","Yes","https://standards.ieee.org/ieee/360/6244/",,,,,,,"No","[""mHealth""]","[""IEEE""]","[""IEEE""]","[""Institute of Electrical and Electronics Engineers""]"
"B2AI_STANDARD:162","BPPC","IHE Basic Patient Privacy Consents","Biomedical Standard","A mechanism to record the patient privacy consent(s) and a method for Content Consumers to use to enforce the privacy consent appropriate to the use.",,"No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No",,"https://profiles.ihe.net/ITI/TF/Volume1/ch-19.html",,,,,,"No","[""EHR""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:163","IHE CDS-OAT","IHE Clinical Decision Support Order Appropriateness Tracking","Biomedical Standard","Profile for Clinical Decision Support and Appropriate Use Criteria (AUC) information as received from the CDS Mechanism 145 (CDSM) on the order and charge transaction to the revenue cycle application that is responsible to create a claim.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No","https://www.ihe.net/uploadedFiles/Documents/Radiology/IHE_Rad_Suppl_CDS-OAT.pdf",,,,,,,"No","[""Data""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:164","CRD","IHE Clinical Research Document standard","Biomedical Standard","The Clinical Research Document Profile (CRD) specifies a standard way to generate a clinical research document from EHR data provided in the CDA standard.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No",,"https://www.ihe.net/uploadedFiles/Documents/QRPH/IHE_QRPH_Suppl_CRD.pdf",,,,,,"No","[""Data""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:165","IHE XCPD","IHE Cross-Community Patient Discovery Profile","Biomedical Standard","Standardized means to locate communities that hold patient relevant health data and the translation of patient identifiers across communities holding the same patient’s data.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No","https://profiles.ihe.net/ITI/TF/Volume1/ch-27.html",,,,,,,"No","[""Data""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:166","IHE ITI","IHE IT Infrastructure Technical Framework","Biomedical Standard","Technical profiles and definitions for IT use cases, transactions, content, and metadata.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No","https://profiles.ihe.net/ITI/index.html","https://profiles.ihe.net/ITI/TF/index.html",,,,,,"No","[""Data""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:167","LAW","IHE Laboratory Analytical Workflow","Biomedical Standard","Profile to support the analytical workflow between analyzers of the clinical laboratory and the IT systems managing their work",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No","https://www.ihe.net/resources/technical_frameworks/#PaLM","https://www.ihe.net/uploadedFiles/Documents/PaLM/IHE_PaLM_TF_Vol1.pdf",,,,,,"No","[""Data""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:168","IHE PCD","IHE Patient Care Device Profiles","Biomedical Standard","Standards for medical device communication.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No","https://wiki.ihe.net/index.php?title=PCD_Profiles",,,,,,,"No","[""Data""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:169","IHE PDQ","IHE Patient Demographics Query Integration Profile","Biomedical Standard","Standardized ways for multiple distributed applications to query a patient information server for a list of patients, based on user-defined search criteria, and retrieve a patient’s demographic (and, optionally, visit or visit-related) information directly into the application.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No","https://profiles.ihe.net/ITI/TF/Volume1/ch-8.html",,,,,,,"No","[""Data""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:170","RFD","IHE Retrieve Form for Data Capture","Biomedical Standard","The RFD Profile provides a generic polling mechanism to allow an external agency to indicate issues with data that have been captured and enable the healthcare provider to correct the data. The profile does not dictate the mechanism employed or content required to achieve such corrections.",,"No","No","[""B2AI_TOPIC:4""]","[""B2AI_ORG:46""]","[""B2AI_ORG:46""]","Yes","No","https://profiles.ihe.net/ITI/TF/Volume1/ch-17.html",,,,,,,"No","[""Clinical Observations""]","[""IHE""]","[""IHE""]","[""Integrating the Healthcare Enterprise""]"
"B2AI_STANDARD:171","LIVD","IICC Digital Format for Publication of LOINC to Vendor IVD Test Results","Biomedical Standard","Industry-defined format to facilitate the publication and exchange of LOINC codes for vendor IVD test results.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:53""]",,"Yes","No","https://ivdconnectivity.org/livd/",,,"[""B2AI_STANDARD:848""]",,,,"No","[""Data""]","[""LOINC""]",,
"B2AI_STANDARD:172","ICS","Image Cytometry Standard","Biomedical Standard","The Image Cytometry Standard (ICS) is a digital multidimensional image file format used in life sciences microscopy. It stores not only the image data, but also the microscopic parameters describing the optics during the acquisition.","[""fileformat""]","No","No","[""B2AI_TOPIC:19""]",,,"Yes","No","https://en.wikipedia.org/wiki/Image_Cytometry_Standard",,"doi:10.1002/cyto.990110502",,,,,"No","[""Microscale Imaging""]",,,
"B2AI_STANDARD:173","imzML","imzML format","Biomedical Standard","The purpose of imzML is to facilitate the exchange and processing of mass spectrometry imaging data. This website is intended to provide all information neccesary to implement imzML.imzML was developed in the framework of the EU funded project COMPUTIS. The main goals during the development were complete description of MS imaging experiments and efficient storage of (very large) data sets. imzML is it not limited to MS imaging, but is also useful for other MS applications generating large data sets such as LC-FTMS. The current version is mzML 1.1.0. The metadata part of imzML is based on the mzML format by HUPO-PSI","[""fileformat""]","No","No","[""B2AI_TOPIC:15"", ""B2AI_TOPIC:28""]","[""B2AI_ORG:20""]",,"Yes","No","https://ms-imaging.org/imzml/",,"doi:10.1016/j.jprot.2012.07.026",,,,,"No","[""Image"", ""Proteome""]","[""COMPUTIS""]",,
"B2AI_STANDARD:174","ICD-10-CM","International Classification of Diseases 10th Revision Clinical Modification","Biomedical Standard","Diseases and diagnostic categories","[""codesystem"", ""standards_process_maturity_final"", ""implementation_maturity_production""]","No","Yes","[""B2AI_TOPIC:9""]","[""B2AI_ORG:14""]","[""B2AI_ORG:14""]","Yes","No","https://www.cdc.gov/nchs/icd/icd-10-cm.htm",,,,,,,"Yes","[""EHR""]","[""CDC NCHS""]","[""CDC NCHS""]","[""CDC National Center for Health Statistics""]"
"B2AI_STANDARD:175","ICD-11","International Classification of Diseases 11th Revision","Biomedical Standard","Diseases and diagnostic categories","[""codesystem"", ""standards_process_maturity_final""]","No","Yes","[""B2AI_TOPIC:9""]","[""B2AI_ORG:100""]","[""B2AI_ORG:100""]","Yes","No","https://icd.who.int/en",,,,,,,"No","[""EHR""]","[""WHO""]","[""WHO""]","[""World Health Organisation""]"
"B2AI_STANDARD:176","ICD-9-CM","International Classification of Diseases 9th Revision Clinical Modification","Biomedical Standard","Diseases and diagnostic categories","[""codesystem""]","No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:14""]","[""B2AI_ORG:14""]","Yes","No","https://www.cdc.gov/nchs/icd/icd9cm.htm",,,,,,,"Yes","[""EHR""]","[""CDC NCHS""]","[""CDC NCHS""]","[""CDC National Center for Health Statistics""]"
"B2AI_STANDARD:177","INTRPRT","INTRPRT guidelines for transparent machine learning for medical image analysis","Biomedical Standard","A design directive for transparent ML systems in medical image analysis. The INTRPRT guideline suggests human-centered design principles, recommending formative user research as the first step to understand user needs and domain requirements.","[""guidelines""]","No","No","[""B2AI_TOPIC:15""]",,,"Yes","No",,,"doi:10.1038/s41746-022-00699-2",,,,,"No","[""Image""]",,,
"B2AI_STANDARD:178","IPSM-AF","IPSM Alignment Format","Biomedical Standard","Alignment can be interpreted as a set of uni-directional mappings for transforming input RDF graph into output RDF graph. It is persisted in IPSM Alignment Format (IPSM-AF) that is based on a well known Alignment API Format.",,"No","No","[""B2AI_TOPIC:21""]",,,"Yes","No","https://inter-iot.readthedocs.io/projects/ipsm/en/latest/Configuration/Alignment-format/IPSM-alignment-format/","https://github.com/INTER-IoT/ipsm-alignments",,,,,,"No","[""Networks And Pathways""]",,,
"B2AI_STANDARD:179","ISA-TAB-Nano","ISA-Tab-Nano format","Biomedical Standard","ISA-TAB-Nano specifies the format for representing and sharing information about nanomaterials, small molecules and biological specimens along with their assay characterization data (including metadata, and summary data) using spreadsheet or TAB-delimited files.","[""fileformat""]","No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:47""]",,"Yes","No","https://wiki.nci.nih.gov/display/icr/isa-tab-nano",,"doi:10.1186/1472-6750-13-2",,,,,"No","[""Data""]","[""ISA Commons""]",,
"B2AI_STANDARD:180","EN13606","ISO 13606 standard for Electronic Health Record Communication","Biomedical Standard","A means for communicating part or all of the electronic health record (EHR) of one or more identified subjects of care between EHR systems, or between EHR systems and a centralised EHR data repository. It can also be used for EHR communication between an EHR system or repository and clinical applications or middleware components (such as decision support components), or personal health applications and devices, that need to access or provide EHR data, or as the representation of EHR data within a distributed (federated) record system.",,"No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:49""]",,"No","Yes","http://www.en13606.org/","https://www.iso.org/standard/67868.html",,,,,,"No","[""EHR""]","[""ISO""]",,
"B2AI_STANDARD:181","ITU-T E-health","ITU H.810, H.811, H.812, H.812.5, and H.813","Biomedical Standard","Standards for medical device communication.",,"No","No","[""B2AI_TOPIC:5""]","[""B2AI_ORG:50""]","[""B2AI_ORG:50""]","Yes","No","https://www.itu.int/en/ITU-T/studygroups/2013-2016/16/Pages/rm/ehealth.aspx",,,,,,,"No","[""Data""]","[""ITU""]","[""ITU""]","[""International Telecommunication Union""]"
"B2AI_STANDARD:182","JCAMP-DX","Joint Committee on Atomic and Molecular Physical Data standard","Biomedical Standard","The JCAMP-DX was one of the earliest specifications providing a standard file format for data exchange in mass spectrometry. It was initially developed for infrared spectrometry and related chemical and physical information between spectrometer data systems of different manufacture. It was also used later for nuclear magnetic resonance spectroscopy. JCAMP-DX is an ASCII based format and therefore not very compact even though it includes standards for file compression. All data are stored as labeled fields of variable length using printable ASCII characters. JCAMP-DX was officially released in 1988. JCAMP-DX was found impractical for today's large MS data sets, but it is still used for exchanging moderate numbers of spectra. IUPAC is currently in charge of its maintenance and the latest protocol is from 2005.","[""fileformat""]","No","No","[""B2AI_TOPIC:3"", ""B2AI_TOPIC:28""]","[""B2AI_ORG:51""]","[""B2AI_ORG:51""]","Yes","No","https://iupac.org/what-we-do/digital-standards/jcamp-dx/",,,,,,,"No","[""Cheminformatics"", ""Proteome""]","[""IUPAC""]","[""IUPAC""]","[""International Union of Pure and Applied Chemistry""]"
"B2AI_STANDARD:183","Countgraph","K-mer countgraph","Biomedical Standard","A format used by the khmer tool to represent k-mer counts and their occurences.","[""fileformat""]","No","No","[""B2AI_TOPIC:5""]",,,"Yes","No","https://khmer.readthedocs.io/en/v2.0/dev/binary-file-formats.html#countgraph",,"doi:10.12688/f1000research.6924.1",,,,"[""B2AI_STANDARD:782""]","No","[""Data""]",,,
"B2AI_STANDARD:184","KPS","Karnofsky Performance Scale","Biomedical Standard","A standard way of measuring the ability of cancer patients to perform ordinary tasks. The Karnofsky Performance Status scores range from 0 to 100. A higher score means the patient is better able to carry out daily activities. Karnofsky Performance Status may be used to determine a patient's prognosis, to measure changes in a patient’s ability to function, or to decide if a patient could be included in a clinical trial. Also called KPS.","[""diagnosticinstrument""]","No","No","[""B2AI_TOPIC:9""]",,,"Yes","No","http://www.npcrc.org/files/news/karnofsky_performance_scale.pdf",,"doi:10.1200/JCO.1984.2.3.187",,,,,"No","[""EHR""]",,,
"B2AI_STANDARD:185","KGML","KEGG Markup Language","Biomedical Standard","The KEGG Markup Language (KGML) is an exchange format of the KEGG pathway maps, which is converted from internally used KGML+ (KGML+SVG) format.","[""markuplanguage""]","No","No","[""B2AI_TOPIC:21""]","[""B2AI_ORG:52""]","[""B2AI_ORG:52""]","Yes","No","https://www.kegg.jp/kegg/xml/",,,,,,,"No","[""Networks And Pathways""]","[""KEGG""]","[""KEGG""]","[""Kyoto Encyclopedia of Genes and Genomes""]"
"B2AI_STANDARD:186","LS-DAM","Life sciences domain analysis model","Biomedical Standard","The LS DAM v2.2.1 is comprised of 130 classes and covers several core areas including Experiment, Molecular Biology, Molecular Databases and Specimen. Nearly half of these classes originate from the BRIDG model, emphasizing the semantic harmonization between these models. Validation of the LS DAM against independently derived information models, research scenarios and reference databases supports its general applicability to represent life sciences research.","[""deprecated""]","No","No","[""B2AI_TOPIC:20""]",,,"Yes","No",,,"doi:10.1136/amiajnl-2011-000763",,,,,"No","[""Molecular Biology""]",,,
"B2AI_STANDARD:187","LOINC","Logical Observation Identifier Names and Codes","Biomedical Standard","Tests, observations, diagnostics, and other clinical procedures.","[""codesystem"", ""has_ai_application"", ""standards_process_maturity_final"", ""implementation_maturity_production""]","Yes","Yes","[""B2AI_TOPIC:9""]","[""B2AI_ORG:53"", ""B2AI_ORG:114"", ""B2AI_ORG:115""]","[""B2AI_ORG:53""]","Yes","Yes","loinc.org",,,"[""B2AI_STANDARD:848""]",,,,"Yes","[""EHR""]","[""LOINC"", ""Salutogenesis Grand Challenge"", ""AI/ML for Clinical Care Grand Challenge""]","[""LOINC""]","[""Logical Observation Identifiers Names and Codes""]"
"B2AI_STANDARD:188","mmCIF","Macromolecular Crystallographic Information File","Biomedical Standard","PDBx/mmCIF became the standard PDB archive format in 2014. All PDB data processing and annotation will be performed using PDBx/mmCIF at all wwPDB sites. PDBx/mmCIF consists of categories of information represented as tables and keyword value pairs.","[""fileformat""]","No","No","[""B2AI_TOPIC:27""]","[""B2AI_ORG:82""]","[""B2AI_ORG:82""]","Yes","No","https://mmcif.wwpdb.org/",,,,,,,"No","[""Protein Structure Model""]","[""PDB""]","[""PDB""]","[""Worldwide Protein Data Bank""]"
"B2AI_STANDARD:189","MSAML","Markup Components for Describing Multiple Sequence Alignments","Biomedical Standard","MSAML was formulated to make manipulation and extraction of multiple sequence alignment information easier by logically defining the parts of an alignment for use in an XML conformant application.","[""markuplanguage""]","No","No","[""B2AI_TOPIC:23""]",,,"Yes","No","http://xml.coverpages.org/msaml-desc-dec.html",,,,,,,"No","[""Omics""]",,,
"B2AI_STANDARD:190","MDL","MDL molfile Format","Biomedical Standard","An MDL Molfile is a file format for holding information about the atoms, bonds, connectivity and coordinates of a molecule.","[""fileformat""]","No","No","[""B2AI_TOPIC:3"", ""B2AI_TOPIC:27""]",,,"Yes","No","https://en.wikipedia.org/wiki/Chemical_table_file",,,,,,,"No","[""Cheminformatics"", ""Protein Structure Model""]",,,
"B2AI_STANDARD:191","RXN","MDL reaction Format","Biomedical Standard","The MDL reaction format is used to store information on chemical reactions.","[""fileformat""]","No","No","[""B2AI_TOPIC:3""]",,,"Yes","No","https://open-babel.readthedocs.io/en/latest/FileFormats/MDL_RXN_format.html",,,,,,,"No","[""Cheminformatics""]",,,
"B2AI_STANDARD:192","MSGISO","Measuring Sex, Gender Identity, and Sexual Orientation","Biomedical Standard","Measuring Sex, Gender Identity, and Sexual Orientation recommends that the National Institutes of Health (NIH) adopt new practices for collecting data on sex, gender, and sexual orientation - including collecting gender data by default, and not conflating gender with sex as a biological variable. The report recommends standardized language to be used in survey questions that ask about a respondent's sex, gender identity, and sexual orientation. Better measurements will improve data quality, as well as the NIH's ability to identify LGBTQI+ populations and understand the challenges they face.","[""guidelines""]","No","No","[""B2AI_TOPIC:6"", ""B2AI_TOPIC:31""]","[""B2AI_ORG:60""]","[""B2AI_ORG:60""]","Yes","No","https://nap.nationalacademies.org/catalog/26424/measuring-sex-gender-identity-and-sexual-orientation",,"doi:10.17226/26424",,,,,"No","[""Demographics"", ""Survey""]","[""NASEM""]","[""NASEM""]","[""National Academies of Sciences, Engineering, and Medicine""]"
"B2AI_STANDARD:193","MNC","Medical Imaging NetCDF (Minc) format","Biomedical Standard","A system for flexible, self-documenting representation of neuroscientific imaging data with arbitrary orientation and dimensionality.","[""fileformat""]","No","No","[""B2AI_TOPIC:22""]",,,"Yes","No","https://en.wikibooks.org/wiki/MINC/SoftwareDevelopment/MINC2.0_File_Format_Reference",,"doi:10.3389/fninf.2016.00035",,,,,"No","[""Neurologic Imaging""]",,,
"B2AI_STANDARD:194","MS-DRG","Medicare Severity Diagnosis Related Groups codes","Biomedical Standard","Medical cases in the US are classified into Medicare Severity Diagnosis Related Groups (MS-DRGs) for payment based on the following information reported by the hospital - the principal diagnosis, up to 24 additional diagnoses, and up to 25 procedures performed during the stay. In a small number of MS-DRGs, classification is also based on the age, sex, and discharge status of the patient. Effective October 1, 2015, the diagnosis and procedure information is reported by the hospital using codes from the International Classification of Diseases, Tenth Revision, Clinical Modification (ICD-10-CM) and the International Classification of Diseases, Tenth Revision, Procedure Coding System (ICD-10-PCS).","[""codesystem""]","No","No","[""B2AI_TOPIC:9""]","[""B2AI_ORG:17""]","[""B2AI_ORG:17""]","Yes","No","https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/AcuteInpatientPPS/MS-DRG-Classifications-and-Software",,,,,,,"No","[""EHR""]","[""CMS""]","[""CMS""]","[""U.S. Centers for Medicare & Medicaid Services""]"
"B2AI_STANDARD:195","MEDIN","MEDIN Discovery Metadata Standard","Biomedical Standard","MEDIN is a list of information that accompanies a data set and allows other people to find out what the data set contains, where it was collected and how they can get hold of it. It is a standard for marine metadata and a set of tools to create metadata records that comply with the MEDIN Metadata Standard","[""datamodel"", ""has_ai_application""]","Yes","No","[""B2AI_TOPIC:11""]",,,"Yes","No","https://www.medin.org.uk/medin-discovery-metadata-standard","https://github.com/medin-marine/Discovery-Standard-public-content",,,,,,"No","[""Environment""]",,,
"B2AI_STANDARD:196","MSAS","Memorial Symptom Assessment Scale","Biomedical Standard","The Memorial Symptom Assessment Scale (MSAS) is a new patient-rated instrument that was developed to provide multidimensional information about a diverse group of common symptoms.","[""diagnosticinstrument""]","No","No","[""B2AI_TOPIC:9""]",,,"Yes","No","http://www.npcrc.org/files/news/memorial_symptom_assessment_scale.pdf",,"doi:10.1016/0959-8049(94)90182-1",,,,,"No","[""EHR""]",,,
"B2AI_STANDARD:197","MOD-CO","Meta-omics Data and Collection Objects","Biomedical Standard","The conceptual and procedural meta-omics schema is developed as part of the MOD-CO project. It is entitled with MOD-CO schema, a conceptual schema for processing sample data in meta-omics research and published in various kind of schema representations. With that, the MOD-CO schema is a generic and comprehensive schema providing specifications useful for later software implementation and facilitates international standardisation processes.",,"No","No","[""B2AI_TOPIC:13"", ""B2AI_TOPIC:28"", ""B2AI_TOPIC:34""]",,,"Yes","No","https://www.mod-co.net/wiki/Schema_Representations",,,,,,,"No","[""Genome"", ""Proteome"", ""Transcriptome""]",,,
"B2AI_STANDARD:198","MINiML","MIAME Notation in Markup Language","Biomedical Standard","MINiML (MIAME Notation in Markup Language, pronounced 'minimal') is a data exchange format optimized for microarray gene expression data, as well as many other types of high-throughput molecular abundance data. MINiML assumes only very basic relations between objects - Platform (e.g., array), Sample (e.g., hybridization), and Series (experiment). MINiML captures all components of the MIAME checklist, as well as any additional information that the submitter wants to provide. MINiML uses XML Schema as syntax.","[""fileformat""]","No","No","[""B2AI_TOPIC:33""]","[""B2AI_ORG:74""]",,"Yes","No","https://www.ncbi.nlm.nih.gov/geo/info/MINiML.html",,,,,,,"No","[""Transcript""]","[""NIH NLM""]",,
"B2AI_STANDARD:199","MAGE-ML","MicroArray Gene Expression Markup Language","Biomedical Standard","This document is a standard that addresses the representation of gene expression data and relevant annotations, as well as mechanisms for exchanging these data. The field of gene expression experiments has several distinct technologies that a standard must include (e.g., single vs. dual channel experiments, cDNA vs. oligonucleotides). Because of these different technologies and different types of gene expression experiments, it is not expected that all aspects of the standard will be used by all organizations. With the acceptance of XML Metadata Interchange as an OMG standard it is possible to specify a normative UML model using a tool such as Rational Rose that describes the data structures for Gene Expression","[""markuplanguage""]","No","No","[""B2AI_TOPIC:33"", ""B2AI_TOPIC:34""]",,,"Yes","No","http://scgap.systemsbiology.net/standards/mage_miame.php",,,,,,,"No","[""Transcript"", ""Transcriptome""]",,,
"B2AI_STANDARD:200","MAGE-TAB","MicroArray Gene Expression Markup Language Tab format","Biomedical Standard","Sharing of microarray data within the research community has been greatly facilitated by the development of the disclosure and communication standards MIAME and MAGE-ML by the FGED Society. However, the complexity of the MAGE-ML format has made its use impractical for laboratories lacking dedicated bioinformatics support. We propose a simple tab-delimited, spreadsheet-based format, MAGE-TAB, which will become a part of the MAGE microarray data standard and can be used for annotating and communicating microarray data in a MIAME compliant fashion. MAGE-TAB will enable laboratories without bioinformatics experience or support to manage, exchange and submit well-annotated microarray data in a standard format using a spreadsheet. The MAGE-TAB format is self-contained, and does not require an understanding of MAGE-ML or XML","[""fileformat""]","No","No","[""B2AI_TOPIC:33"", ""B2AI_TOPIC:34""]",,,"Yes","No","http://scgap.systemsbiology.net/standards/mage_miame.php",,,,,,,"No","[""Transcript"", ""Transcriptome""]",,,
